Order ID,Product,Quantity Ordered, Price Each , PartialSum 
141234,iPhone,1, $700.00 , $700.00 
141235,Lightning Charging Cable,1, $14.95 , $14.95 
141236,Wired Headphones,2, $11.99 , $23.98 
141237,27in FHD Monitor,1, $149.99 , $149.99 
141238,Wired Headphones,1, $11.99 , $11.99 
141239,AAA Batteries (4-pack),1, $2.99 , $2.99 
141240,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141241,USB-C Charging Cable,1, $11.95 , $11.95 
141242,Bose SoundSport Headphones,1, $99.99 , $99.99 
141243,Apple Airpods Headphones,1, $150.00 , $150.00 
141244,Apple Airpods Headphones,1, $150.00 , $150.00 
141245,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141246,AAA Batteries (4-pack),3, $2.99 , $8.97 
141247,27in FHD Monitor,1, $149.99 , $149.99 
141248,Flatscreen TV,1, $300.00 , $300.00 
141249,27in FHD Monitor,1, $149.99 , $149.99 
141250,Vareebadd Phone,1, $400.00 , $400.00 
141251,Apple Airpods Headphones,1, $150.00 , $150.00 
141252,USB-C Charging Cable,1, $11.95 , $11.95 
141253,AA Batteries (4-pack),1, $3.84 , $3.84 
141254,AAA Batteries (4-pack),1, $2.99 , $2.99 
141255,USB-C Charging Cable,1, $11.95 , $11.95 
141256,Google Phone,1, $600.00 , $600.00 
141257,Apple Airpods Headphones,1, $150.00 , $150.00 
141258,AA Batteries (4-pack),1, $3.84 , $3.84 
141259,AAA Batteries (4-pack),2, $2.99 , $5.98 
141260,AAA Batteries (4-pack),1, $2.99 , $2.99 
141261,USB-C Charging Cable,1, $11.95 , $11.95 
141262,AAA Batteries (4-pack),1, $2.99 , $2.99 
141263,Bose SoundSport Headphones,1, $99.99 , $99.99 
141264,Apple Airpods Headphones,1, $150.00 , $150.00 
141265,Apple Airpods Headphones,1, $150.00 , $150.00 
141266,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141267,Apple Airpods Headphones,1, $150.00 , $150.00 
141268,AA Batteries (4-pack),1, $3.84 , $3.84 
141269,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141270,Wired Headphones,1, $11.99 , $11.99 
141271,USB-C Charging Cable,1, $11.95 , $11.95 
141272,AAA Batteries (4-pack),1, $2.99 , $2.99 
141273,Wired Headphones,2, $11.99 , $23.98 
141274,USB-C Charging Cable,1, $11.95 , $11.95 
141275,USB-C Charging Cable,1, $11.95 , $11.95 
141275,Wired Headphones,1, $11.99 , $11.99 
141276,Lightning Charging Cable,1, $14.95 , $14.95 
141277,Bose SoundSport Headphones,1, $99.99 , $99.99 
141278,Lightning Charging Cable,1, $14.95 , $14.95 
141279,Lightning Charging Cable,1, $14.95 , $14.95 
141280,AAA Batteries (4-pack),1, $2.99 , $2.99 
141281,Lightning Charging Cable,1, $14.95 , $14.95 
141282,Vareebadd Phone,1, $400.00 , $400.00 
141283,Flatscreen TV,1, $300.00 , $300.00 
141284,Wired Headphones,1, $11.99 , $11.99 
141285,AAA Batteries (4-pack),3, $2.99 , $8.97 
141286,27in 4K Gaming Monitor,1, $389.99 , $389.99 
141287,Bose SoundSport Headphones,1, $99.99 , $99.99 
141288,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141289,20in Monitor,1, $109.99 , $109.99 
141290,Apple Airpods Headphones,1, $150.00 , $150.00 
141290,AA Batteries (4-pack),3, $3.84 , $11.52 
141291,AA Batteries (4-pack),1, $3.84 , $3.84 
141292,AAA Batteries (4-pack),1, $2.99 , $2.99 
141293,USB-C Charging Cable,1, $11.95 , $11.95 
141294,Bose SoundSport Headphones,1, $99.99 , $99.99 
141295,AA Batteries (4-pack),1, $3.84 , $3.84 
141296,USB-C Charging Cable,1, $11.95 , $11.95 
141297,Lightning Charging Cable,1, $14.95 , $14.95 
141298,Lightning Charging Cable,1, $14.95 , $14.95 
141299,AAA Batteries (4-pack),1, $2.99 , $2.99 
141300,Apple Airpods Headphones,1, $150.00 , $150.00 
141301,Apple Airpods Headphones,1, $150.00 , $150.00 
141302,AAA Batteries (4-pack),2, $2.99 , $5.98 
141303,AA Batteries (4-pack),1, $3.84 , $3.84 
141304,USB-C Charging Cable,1, $11.95 , $11.95 
141305,AAA Batteries (4-pack),3, $2.99 , $8.97 
141306,Wired Headphones,1, $11.99 , $11.99 
141307,AAA Batteries (4-pack),1, $2.99 , $2.99 
141308,27in FHD Monitor,1, $149.99 , $149.99 
141309,AAA Batteries (4-pack),2, $2.99 , $5.98 
141310,AAA Batteries (4-pack),1, $2.99 , $2.99 
141311,34in Ultrawide Monitor,1, $379.99 , $379.99 
141312,Apple Airpods Headphones,1, $150.00 , $150.00 
141313,Lightning Charging Cable,1, $14.95 , $14.95 
141314,Macbook Pro Laptop,1," $1,700.00 "," $1,700.00 "
141315,USB-C Charging Cable,1, $11.95 , $11.95 
141316,AAA Batteries (4-pack),3, $2.99 , $8.97 
141317,27in FHD Monitor,1, $149.99 , $149.99 
141318,Bose SoundSport Headphones,1, $99.99 , $99.99 
141319,Bose SoundSport Headphones,1, $99.99 , $99.99 
141320,AA Batteries (4-pack),1, $3.84 , $3.84 
141321,Bose SoundSport Headphones,1, $99.99 , $99.99 
141322,AAA Batteries (4-pack),2, $2.99 , $5.98 
141323,USB-C Charging Cable,1, $11.95 , $11.95 
141324,USB-C Charging Cable,1, $11.95 , $11.95 
141325,Bose SoundSport Headphones,1, $99.99 , $99.99 
141326,Google Phone,1, $600.00 , $600.00 
141327,USB-C Charging Cable,1, $11.95 , $11.95 
141328,ThinkPad Laptop,1, $999.99 , $999.99 
141329,USB-C Charging Cable,1, $11.95 , $11.95 
141330,Wired Headphones,1, $11.99 , $11.99 
141331,Flatscreen TV,1, $300.00 , $300.00 
141332,USB-C Charging Cable,1, $11.95 , $11.95 
141333,27in FHD Monitor,1, $149.99 , $149.99 
141334,USB-C Charging Cable,1, $11.95 , $11.95 
141335,AAA Batteries (4-pack),5, $2.99 , $14.95 
141336,iPhone,1, $700.00 , $700.00 
141337,Bose SoundSport Headphones,1, $99.99 , $99.99 
141338,AAA Batteries (4-pack),1, $2.99 , $2.99 
141339,AAA Batteries (4-pack),1, $2.99 , $2.99 
141340,Lightning Charging Cable,1, $14.95 , $14.95 
141341,LG Dryer,1, $600.00 , $600.00 
141342,Wired Headphones,1, $11.99 , $11.99 
141343,Bose SoundSport Headphones,1, $99.99 , $99.99 
141344,Apple Airpods Headphones,1, $150.00 , $150.00 
141345,USB-C Charging Cable,1, $11.95 , $11.95 
141346,Apple Airpods Headphones,1, $150.00 , $150.00 
141347,AA Batteries (4-pack),1, $3.84 , $3.84 
141348,USB-C Charging Cable,2, $11.95 , $23.90 
141349,Lightning Charging Cable,1, $14.95 , $14.95 
141350,Lightning Charging Cable,1, $14.95 , $14.95 
141351,USB-C Charging Cable,2, $11.95 , $23.90 
141352,Lightning Charging Cable,1, $14.95 , $14.95 
141353,USB-C Charging Cable,1, $11.95 , $11.95 
